orden_id,productos
101,fruta tropical
102,refresco
102,misc. bebidas
103,salchicha
103,cerdo
103,uvas
103,leche entera
103,galletas
103,pastel
103,refresco
103,bar de especialidades
103,limpiador de baño
104,chorizo
104,galletas
104,agua embotellada
105,salchicha
105,leche entera
105,yogurt
105,cafe
105,jugo de frutas/verduras
105,cerveza embotellada
105,suavizante
105,servilletas
105,foto/pelicula
105,bolsa de compras
106,refresco
107,galletas
107,jugo de frutas/verduras
108,carne de res
108,fruta citrica
108,bayas
108,hortalizas
108,pan moreno
108,detergente
109,leche entera
109,crema batida/crema agria
109,galletas
109,refresco
109,waffles
109,caramelo
109,papel higienico
110,queso procesado
111,fruta tropical
111,pepita de fruta
112,chorizo
112,salchicha
112,hortalizas
112,otras verduras
112,galletas
112,aceite
112,vegetales en escabeche
112,cerveza embotellada
112,chicles
112,platos
113,frutas/verduras embazadas
113,agua embotellada
114,leche entera
114,postre
114,vegetales congelados
114,galletas
114,margarina
114,agua embotellada
114,vino tinto
114,periodicos
115,bayas
115,crema batida/crema agria
116,fruta citrica
116,bayas
116,leche-UHT
116,queso procesado
117,fruta tropical
117,leche entera
117,yogurt
118,hamburguesa de carne
118,leche entera
118,vegetales congelados
118,galletas
118,cerveza embotellada
118,vino espumoso
119,hamburguesa de carne
119,otras verduras
119,leche entera
119,vegetales congelados
119,huevos domesticos
119,refresco
119,platos
120,leche entera
120,crema de queso 
120,refresco
121,pescado
121,otras verduras
121,pastel
121,margarina
121,cafe
121,producto de panaderia de larga duracion
121,cosmeticos masculinos
121,bolsa de compras
122,chorizo
122,salchicha
122,producto de panaderia de larga duracion
122,waffles
123,frutas/verduras embazadas
123,postre
123,pan semi-acabado
123,cerveza enlatada
124,pastel
124,refresco
125,otras verduras
125,vino tinto
126,misc. bebidas
127,chorizo
127,salchicha
127,fruta citrica
127,fruta tropical
127,pepita de fruta
127,leche entera
127,queso duro
127,crema de queso 
127,huevos domesticos
127,arroz
127,azucar
127,fruta congelada
127,misc. bebidas
127,jugo de frutas/verduras
127,articulos de higiene
128,vino espumoso
129,bar de especialidades
130,salchicha
130,mantequilla de leche
130,galletas
131,queso cuajada
132,chorizo
132,postre
133,leche entera
133,yogurt
133,bebidas
133,pan moreno
133,bolsa de compras
134,periodicos
135,bayas
135,refresco
136,cuajada
136,harina
136,licor (aperitivo)
137,fruta tropical
137,otras verduras
137,cafe
138,refresco
139,galletas
139,productos de comida instantanea
140,cerveza enlatada
141,cerveza enlatada
142,chorizo
142,salchicha
142,leche entera
142,galletas
142,margarina
143,otras verduras
143,misc. bebidas
143,cerveza enlatada
144,leche entera
144,vegetales congelados
145,leche entera
146,fruta citrica
146,mantequilla
146,crema de queso 
146,pan blanco
146,aceite
146,margarina
146,periodicos
147,chorizo
147,galletas
148,chorizo
148,jamon
148,pepita de fruta
148,otras verduras
148,leche entera
148,queso suave
148,vegetales congelados
148,galletas
148,azucar
148,levadura de hornear
149,mantequilla de leche
149,yogurt
149,miel
149,refresco
149,detergente
150,hamburguesa de carne
150,fruta citrica
150,cebollas
150,galletas
150,agua embotellada
150,cuidado dental
151,pasta
151,popcorn
152,otras verduras
152,leche entera
152,carne para untar
152,barra de pastel
152,chocolate
152,bolsa de compras
153,salchicha
153,cerdo
153,fruta citrica
153,postre
153,pan blanco
153,platos
153,velas
154,galletas
155,uvas
155,otras verduras
155,cuajada
155,postre
155,yogurt
155,servilletas
156,hortalizas
156,otras verduras
156,leche entera
156,yogurt
156,bebidas
156,queso suave
156,vegetales congelados
156,jugo de frutas/verduras
156,cerveza embotellada
157,cafe
157,bolsa de compras
158,popcorn
159,leche entera
159,galletas
159,azucar
159,agua embotellada
159,refresco
160,fruta tropical
160,otras verduras
160,frutas/verduras embazadas
160,leche entera
160,snack products
161,carne de res
161,hierbas
161,harina
161,papel higienico
161,aceite de semillas
162,leche entera
162,mantequilla
162,postre
162,galletas
163,chorizo
163,refresco
163,chicles
164,fruta tropical
164,queso especial
164,agua embotellada
165,cerveza enlatada
166,productos terminados
166,otras verduras
166,vegetales congelados
166,cerveza embotellada
167,bebidas
167,refresco
168,hamburguesa de carne
168,hortalizas
168,leche entera
169,leche entera
169,pastel
169,producto de panaderia de larga duracion
170,productos terminados
170,vino blanco
170,bolsa de compras
171,otras verduras
172,jamon
172,fruta tropical
172,otras verduras
172,leche entera
172,pan blanco
172,pan moreno
172,jugo de frutas/verduras
172,cerveza embotellada
173,otras verduras
174,cuajada
174,mantequilla de leche
174,cocoa bebible
174,bocadillos salados
174,popcorn
175,cerveza embotellada
176,cuajada
176,postre
176,refresco
176,bocadillos salados
176,waffles
176,barra de pastel
176,chocolate
176,bolsa de compras
177,leche entera
177,crema de queso 
177,cereales
177,comida para perros
178,leche entera
178,sal
179,postre
179,helado
180,salchicha
180,queso suave
180,cafe
181,otras verduras
181,agua embotellada
181,waffles
181,platos
181,bolsa de compras
182,jamon
182,leche entera
182,galletas
183,otras verduras
183,helado
184,otras verduras
184,agua embotellada
185,refresco
185,cerveza embotellada
185,vino blanco
185,prosecco
186,hierbas
186,caramelo
187,chorizo
187,jamon
187,fruta tropical
187,pepita de fruta
187,hortalizas
187,otras verduras
187,leche entera
187,mantequilla
187,cuajada
187,yogurt
187,crema batida/crema agria
187,queso suave
187,queso rebanado
187,crema de queso 
187,comidas congeladas
187,pescado congelado
187,huevos domesticos
187,pan blanco
187,azucar
187,cereales
187,jugo de frutas/verduras
187,cerveza embotellada
187,waffles
188,galletas
188,cerveza enlatada
189,cuajada
189,crema de queso 
189,pan semi-acabado
189,bizcochos
189,barra de pastel
189,bar de especialidades
189,bolsa de compras
190,chorizo
190,fruta tropical
190,leche entera
190,queso untado
190,margarina
190,bolsa de compras
191,otras verduras
192,comida para perros
193,bar de especialidades
194,cuajada
194,sal
194,licor (aperitivo)
194,detergente
194,bolsa de compras
195,chorizo
195,galletas
196,refresco
197,carne de res
197,bayas
197,hortalizas
197,leche entera
197,postre
197,queso untado
197,pan moreno
198,cerveza enlatada
199,cerdo
199,carne de res
199,pepita de fruta
199,hierbas
199,especies
200,chorizo
200,fruta citrica
200,leche-UHT
200,margarina
200,azucar
201,salchicha
201,cerveza embotellada
201,licor (aperitivo)
202,cerveza enlatada
203,chocolate especial
204,cuajada
204,galletas
205,cerveza enlatada
206,leche entera
206,agua embotellada
206,periodicos
207,galletas
207,chicles
208,cerdo
208,hortalizas
208,otras verduras
208,leche entera
208,platos
209,fruta citrica
209,pastel
210,maceta de plantas
211,galletas
211,pastel
211,refresco
212,mantequilla
212,yogurt
212,agua embotellada
212,refresco
212,make up remover
212,articulos de higiene
213,leche condensada
213,azucar
213,cafe
213,bolsa de compras
214,salchicha
214,otras verduras
214,yogurt
214,refresco
214,bolsa de compras
215,leche entera
215,bebidas
215,leche-UHT
215,refresco
216,salchicha
216,cerdo
216,carne de res
216,leche entera
216,galletas
216,margarina
217,bebidas
218,bebidas
218,bar de especialidades
219,agua embotellada
219,jugo de frutas/verduras
220,periodicos
221,limpiador
221,productos sanitarios femeninos
222,salchicha
222,refresco
222,periodicos
222,bolsa de compras
223,periodicos
224,salchicha
224,carne de res
224,fruta citrica
224,otras verduras
224,leche entera
224,mantequilla de leche
224,crema batida/crema agria
224,bebidas
224,queso duro
224,galletas
224,plato limpiador
224,utencilios de cocina
225,misc. bebidas
225,periodicos
226,vino blanco
227,salchicha
227,queso rebanado
227,galletas
227,refresco
227,cerveza enlatada
227,bolsa de compras
228,carne
228,cuajada
228,cerveza embotellada
228,barra de pastel
229,chorizo
229,carne
229,fruta tropical
229,cebollas
229,aceite
229,levadura de hornear
229,te
229,papel higienico
230,helado
230,galletas
230,cerveza enlatada
231,cerveza enlatada
232,fruta tropical
232,bayas
232,hortalizas
232,otras verduras
232,agua embotellada
232,bolsa de compras
233,carne
233,fruta citrica
233,otras verduras
233,cuajada
233,postre
233,mantequilla de leche
233,bebidas
233,crema de queso 
233,galletas
233,pan moreno
233,te
233,agua embotellada
234,leche entera
234,mostaza
234,agua embotellada
235,salchicha
235,carne de res
235,bebidas
235,queso rebanado
235,galletas
235,especies
235,productos de limpieza
235,semilla de flores
236,chorizo
236,salchicha
236,hortalizas
236,mantequilla
236,cuajada
236,queso rebanado
236,galletas
236,bocadillos salados
236,producto de panaderia de larga duracion
237,carne
237,otras verduras
237,mantequilla
237,galletas
238,hortalizas
238,bebidas
238,productos de comida instantanea
238,vegetales en escabeche
238,detergente
239,hortalizas
239,hierbas
239,otras verduras
239,leche entera
239,queso rebanado
239,galletas
240,leche entera
240,crema batida/crema agria
240,pan semi-acabado
240,margarina
241,fruta citrica
241,leche entera
241,cuajada
241,postre
241,yogurt
241,crema batida/crema agria
241,postre congelado
241,galletas
241,sal
241,azucar
241,cereales
241,vegetales embazados
241,pescado enlatado
241,cuidador de piel
241,articulos de higiene
241,servilletas
242,fruta citrica
242,cuajada
242,pastel
242,margarina
242,azucar
242,caramelo
242,periodicos
243,otras verduras
243,leche entera
243,agua embotellada
243,refresco
243,misc. bebidas
243,cerveza embotellada
243,vino tinto
243,servilletas
244,fruta citrica
244,leche entera
244,galletas
245,salchicha
245,aceite
245,articulos de higiene
245,servilletas
246,chorizo
246,carne de res
246,hamburguesa de carne
246,uvas
246,hortalizas
246,leche entera
246,mantequilla
246,postre congelado
246,potato products
246,agua embotellada
246,cerveza embotellada
247,queso duro
247,galletas
247,agua embotellada
247,periodicos
248,crema de queso 
248,galletas
248,refresco
248,chocolate
249,pavo
249,carne de res
249,vegetales congelados
249,platos
249,foto/pelicula
250,cerdo
250,otras verduras
250,crema batida/crema agria
250,galletas
250,refresco
250,bolsa de compras
251,leche entera
251,bebidas
252,galletas
252,refresco
253,salchicha
253,pepita de fruta
253,leche entera
253,cuajada
253,yogurt
253,queso rebanado
253,galletas
253,agua embotellada
253,articulos de higiene
254,helado
255,licor
256,pepita de fruta
256,otras verduras
256,jugo de frutas/verduras
257,hortalizas
257,otras verduras
257,yogurt
258,refresco
259,refresco
260,salchicha
260,fruta citrica
260,fruta tropical
260,otras verduras
260,leche entera
260,yogurt
260,galletas
260,agua embotellada
260,refresco
260,chocolate
260,periodicos
261,hortalizas
261,leche entera
261,cuidado de mascotas
261,detergente
262,cerdo
262,bayas
262,hortalizas
262,otras verduras
262,pastel
262,bar de especialidades
263,cerdo
264,chocolate
265,jugo de frutas/verduras
266,vegetales en escabeche
266,cafe
267,agua embotellada
268,chorizo
268,salchicha
268,mantequilla
268,crema batida/crema agria
268,galletas
268,margarina
268,especies
269,fruta tropical
269,pepita de fruta
269,cebollas
269,otras verduras
269,leche entera
269,huevos domesticos
269,azucar
269,sopas
269,te
269,refresco
269,articulos de higiene
269,servilletas
270,cerveza enlatada
271,hortalizas
272,carne
272,fruta citrica
272,bayas
272,hortalizas
272,leche entera
272,refresco
273,chorizo
273,galletas
273,agua embotellada
273,jugo de frutas/verduras
273,articulos de higiene
274,fruta tropical
274,margarina
274,ron
275,fruta tropical
275,hortalizas
275,hierbas
275,leche entera
275,mantequilla de leche
275,crema batida/crema agria
275,harina
275,articulos de higiene
276,fruta citrica
276,pepita de fruta
276,hortalizas
276,otras verduras
276,leche entera
276,crema de queso 
276,huevos domesticos
276,pan moreno
276,margarina
276,levadura de hornear
276,waffles
277,hamburguesa de carne
277,otras verduras
277,leche entera
277,cuajada
277,yogurt
277,galletas
277,pastel
277,pan semi-acabado
277,margarina
277,agua embotellada
277,jugo de frutas/verduras
278,pollo
278,pepita de fruta
278,otras verduras
278,leche entera
278,postre
278,yogurt
278,crema batida/crema agria
278,galletas
278,pasta
278,refresco
278,waffles
279,pollo
279,fruta citrica
279,fruta tropical
279,hortalizas
279,leche entera
279,pescado congelado
279,galletas
280,chorizo
280,fruta citrica
280,cebollas
280,otras verduras
280,leche entera
280,galletas
280,azucar
280,refresco
281,cerveza enlatada
282,pavo
282,pepita de fruta
282,aderezo para ensaladas
282,pastel
283,frutas/verduras embazadas
283,leche entera
283,cuajada
283,yogurt
283,huevos domesticos
283,pan moreno
283,mostaza
283,vegetales en escabeche
283,agua embotellada
283,misc. bebidas
284,pasta
285,fruta citrica
285,fruta tropical
286,salchicha
286,leche entera
286,yogurt
286,galletas
286,pan moreno
286,maceta de plantas
287,leche entera
287,comidas congeladas
287,pastel
287,jugo de frutas/verduras
287,waffles
288,cerveza enlatada
289,fruta citrica
289,azucar
289,salsas
290,licor (aperitivo)
291,fruta citrica
291,otras verduras
291,galletas
291,bocadillos salados
291,bolsa de compras
292,salchicha
293,pollo
293,otras verduras
293,leche entera
293,vinagre
293,aceite
293,agua embotellada
293,cerveza enlatada
293,servilletas
293,periodicos
294,hamburguesa de carne
294,hortalizas
294,otras verduras
294,leche entera
294,yogurt
294,crema batida/crema agria
294,queso especial
294,harina
294,margarina
295,salchicha
295,cerdo
295,otras verduras
295,postre
295,yogurt
295,aceite
295,refresco
296,carne de res
296,bayas
296,hortalizas
296,leche entera
296,crema batida/crema agria
296,limpiador de cocina
297,fruta citrica
297,frutas/verduras embazadas
297,yogurt
297,agua embotellada
298,leche-UHT
298,cafe
299,caramelo
300,periodicos
301,carne de res
301,fruta citrica
301,otras verduras
301,yogurt
302,salchicha
302,galletas
303,chorizo
303,carne de res
303,hortalizas
303,cuajada
303,postre
303,yogurt
303,queso suave
303,galletas
303,mostaza
303,vegetales en escabeche
303,cerveza enlatada
303,articulos de higiene
303,servilletas
304,cerveza enlatada
305,cerveza embotellada
306,cebollas
306,refresco
306,chicles
306,chocolate
306,periodicos
307,fruta tropical
307,frutas/verduras embazadas
307,crema de queso 
307,pan blanco
307,caramelo
308,agua embotellada
308,vino blanco
309,carne de res
309,pan blanco
309,pastel
309,pasta
309,jabon
310,salchicha
310,pollo
310,fruta tropical
310,hortalizas
310,leche entera
310,yogurt
310,caramelo
310,limpiador de cocina
310,limpiador
311,spray para cabello
312,pollo
312,leche entera
312,especies
312,producto de panaderia de larga duracion
312,bolsa de compras
313,cerdo
313,fruta citrica
313,pan moreno
313,pastel
313,azucar
313,comida de gatos
314,helado
315,carne
315,queso duro
315,cerveza embotellada
316,otras verduras
316,yogurt
316,pan moreno
316,cafe instantaneo
317,agua embotellada
317,barra de pastel
318,fruta tropical
318,refresco
318,bocadillos salados
319,foto/pelicula
320,salchicha
320,fruta citrica
320,yogurt
320,cafe
320,refresco
320,cerveza enlatada
320,platos
321,uvas
321,hortalizas
322,huevos domesticos
322,pan moreno
322,foto/pelicula
323,galletas
323,pescado enlatado
323,cerveza enlatada
324,fruta tropical
324,leche entera
325,pollo
326,chorizo
326,otras verduras
326,yogurt
326,pan moreno
326,agua embotellada
327,bayas
327,hortalizas
327,otras verduras
327,cuajada
327,mantequilla de leche
327,crema de queso 
327,productos en rollo 
327,margarina
327,misc. bebidas
327,chocolate especial
327,detergente
328,margarina
328,articulos de higiene
329,fruta tropical
329,yogurt
329,galletas
329,refresco
329,bolsa de compras
330,jamon
330,otras verduras
330,crema batida/crema agria
330,queso duro
330,galletas
330,refresco
330,misc. bebidas
330,chocolate
330,caramelo
331,hamburguesa de carne
331,pan blanco
331,bocadillos salados
332,yogurt
332,mayonesa
332,galletas
332,refresco
332,servilletas
333,refresco
333,chocolate especial
334,yogurt
335,refresco
336,agua embotellada
337,salchicha
337,carne
337,hamburguesa de carne
337,rubbing alcohol
338,fruta citrica
338,pepita de fruta
338,bebidas
338,queso duro
338,cuidado de mascotas
338,refresco
338,jugo de frutas/verduras
338,waffles
339,bolsa de compras
340,periodicos
341,chorizo
341,otras verduras
341,leche entera
341,cuajada
341,productos de papas cogeladas
341,bizcochos
341,bar de especialidades
341,plato limpiador
342,salchicha
342,fruta citrica
342,leche entera
342,cerveza enlatada
343,chorizo
343,galletas
344,sal
344,bocadillos salados
344,utencilios de cocina
345,aceite
346,cuajada
346,bebidas
346,crema de queso 
346,galletas
346,pastel
346,refresco
346,barra de pastel
346,chicles
347,otras verduras
347,mantequilla
347,chocolate especial
348,fruta citrica
349,chorizo
349,leche entera
349,mantequilla de leche
350,hortalizas
350,leche entera
350,mantequilla
350,queso procesado
350,mayonesa
350,bocadillos salados
351,fruta tropical
351,leche entera
351,comidas congeladas
351,cerveza embotellada
352,carne de res
352,hamburguesa de carne
352,pepita de fruta
353,bayas
353,crema batida/crema agria
353,cereales
353,waffles
353,bolsa de compras
354,cerveza enlatada
355,crema batida/crema agria
355,cerveza enlatada
355,vino tinto
356,hortalizas
356,huevos domesticos
356,margarina
356,chocolate marshmallow
356,caramelo
357,leche entera
357,refresco
358,carne de res
359,vegetales congelados
360,galletas
360,cerveza embotellada
361,leche entera
361,articulos de higiene
362,leche entera
363,fruta citrica
363,leche entera
363,cuajada
363,queso suave
364,pastel
364,jugo de frutas/verduras
365,chorizo
365,salchicha
365,cerdo
365,pepita de fruta
365,mantequilla
365,queso procesado
365,pan blanco
365,pan moreno
366,fruta tropical
366,hortalizas
366,leche entera
366,crema batida/crema agria
366,huevos domesticos
367,chorizo
367,salchicha
367,hortalizas
367,yogurt
367,crema batida/crema agria
367,pastel
367,servilletas
368,bayas
368,hortalizas
368,otras verduras
368,frutas/verduras embazadas
368,leche entera
368,cuajada
368,queso cuajada
368,comida de gatos
368,bar de especialidades
368,detergente
369,galletas
369,pan moreno
369,pastel
369,cafe
369,cerveza embotellada
370,hortalizas
370,frutas/verduras embazadas
370,cuajada
370,postre
370,vegetales congelados
370,grasa especial
370,cafe
371,yogurt
372,otras verduras
372,agua embotellada
373,bayas
373,pan blanco
374,bayas
374,cafe
375,otras verduras
375,mantequilla de leche
375,comidas congeladas
375,agua embotellada
376,galletas
376,periodicos
377,jamon
377,fruta citrica
377,leche entera
377,crema batida/crema agria
377,galletas
377,pastel
377,waffles
377,articulos de higiene
378,leche entera
378,postre congelado
378,bocadillos salados
378,servilletas
379,fruta tropical
379,mantequilla de leche
379,galletas
379,agua embotellada
380,agua embotellada
381,mantequilla de leche
381,yogurt
382,periodicos
383,cafe
384,cerveza embotellada
384,licor
385,cebollas
385,mantequilla
385,crema batida/crema agria
385,queso duro
385,vegetales congelados
385,pasta
385,grasa especial
385,jarabe
385,caramelo
385,servilletas
385,papel higienico
386,hamburguesa de carne
386,queso duro
386,comidas congeladas
386,pasta
386,comida para perros
386,bocadillos salados
386,bolsa de compras
387,salchicha
387,pan de higado
387,otras verduras
387,crema de queso 
387,pastel
387,jabon
387,bolsa de compras
388,queso duro
388,pastel
388,servilletas
389,salchicha
389,fruta tropical
389,leche condensada
389,galletas
390,hamburguesa de carne
391,cebollas
391,leche entera
391,bebidas
391,postre congelado
392,cafe
393,bolsa de compras
394,yogurt
394,galletas
394,pastel
394,agua embotellada
394,refresco
394,bolsa de compras
395,refresco
396,queso rebanado
397,salchicha
397,leche entera
397,cafe
398,yogurt
398,chocolate
399,huevos domesticos
399,galletas
399,plato limpiador
399,articulos de higiene
400,leche entera
401,carne
401,otras verduras
401,leche entera
401,crema batida/crema agria
402,plato limpiador
402,limpiador de baño
402,articulos de higiene
402,servilletas
403,otras verduras
403,vino tinto
404,leche entera
404,mantequilla de leche
404,yogurt
404,queso rebanado
404,galletas
404,dulces para untar
404,cafe
404,jugo de frutas/verduras
404,producto de panaderia de larga duracion
404,bolsa de compras
405,otras verduras
405,leche entera
405,galletas
405,productos de comida instantanea
406,fruta tropical
406,otras verduras
407,levadura de hornear
407,agua embotellada
407,bocadillos salados
407,chicles
408,bar de especialidades
409,helado
410,chorizo
410,yogurt
411,cerveza enlatada
412,agua embotellada
413,otras verduras
413,leche entera
413,galletas
413,margarina
413,agua embotellada
413,cerveza embotellada
414,fruta citrica
414,fruta tropical
414,cebollas
414,otras verduras
414,bolsa de compras
415,salchicha
415,jamon
415,hamburguesa de carne
415,leche entera
415,refresco
415,suavizante
415,periodicos
416,huevos domesticos
416,galletas
416,bar de especialidades
416,servilletas
417,cerdo
417,fruta citrica
417,fruta tropical
417,hortalizas
417,otras verduras
417,cuajada
417,articulos de higiene
418,queso especial
418,vegetales congelados
418,cafe
418,refresco
418,jugo de frutas/verduras
418,bocadillos salados
419,cerdo
419,fruta citrica
419,pepita de fruta
419,yogurt
419,jugo de frutas/verduras
419,vino espumoso
420,carne de res
420,bayas
420,crema batida/crema agria
420,huevos domesticos
420,galletas
421,otras verduras
421,cuidado de mascotas
422,pollo
422,yogurt
422,queso rebanado
422,galletas
422,chicles
422,platos
423,refresco
423,chicles
424,leche entera
425,galletas
426,cerveza embotellada
427,hortalizas
427,pastel
427,agua embotellada
427,cosmeticos masculinos
428,pastel
429,bayas
429,cuidado de mascotas
429,barra de pastel
429,bolsa de compras
430,fruta citrica
430,fruta tropical
430,hortalizas
430,yogurt
430,vegetales embazados
430,agua embotellada
430,refresco
430,suavizante
431,leche entera
431,aceite
431,fruta congelada
431,jugo de frutas/verduras
432,refresco
432,misc. bebidas
433,agua embotellada
433,refresco
434,fruta tropical
434,otras verduras
434,galletas
435,bocadillos salados
436,agua embotellada
436,cerveza enlatada
437,chocolate
438,fruta citrica
438,leche-UHT
438,crema de queso 
438,vegetales congelados
439,agua embotellada
439,cerveza enlatada
439,cosmeticos masculinos
440,cebollas
440,otras verduras
440,pastel
440,agua embotellada
440,refresco
440,servilletas
441,postre
441,aceite
441,comida de gatos
441,refresco
442,carne de res
442,otras verduras
442,leche entera
442,productos de papas cogeladas
442,galletas
442,aceite
442,margarina
442,cafe
442,cuidado dental
442,articulos de higiene
442,periodicos
443,galletas
443,bizcochos
443,agua embotellada
443,misc. bebidas
443,cerveza embotellada
443,cerveza enlatada
443,coñac
444,carne de res
444,fruta tropical
444,hortalizas
444,cebollas
444,otras verduras
444,cafe instantaneo
444,refresco
445,refresco
446,cafe
446,articulos de higiene
447,galletas
447,pan moreno
447,agua embotellada
448,cerdo
448,carne de res
448,hamburguesa de carne
